Base	%GC
1	46.28081587986747
2	45.83561144523419
3	46.14847214628516
4	46.980742360731426
5	46.97466739566247
6	48.14713565396999
7	47.29664054431687
8	47.37865257274771
9	47.83731243545349
10	47.94058684162566
11	47.68240082619525
12	47.89198712107405
13	47.421177328230364
14	47.56393900735071
15	47.26930320150659
16	48.049936212866776
17	47.639876070712596
18	48.22274881516588
19	47.96488670190146
20	48.06208614300468
21	48.40228418686593
22	48.35368446631432
23	48.25952250774558
24	48.933843630399124
25	48.27774740295243
26	48.71210740538242
27	48.66350768483081
28	48.52074600571047
29	48.97636838588178
30	48.92776866533018
31	48.97029342081283
32	48.800194398882205
33	48.87005649717514
34	48.87005649717514
35	49.11305509993317
36	48.633132859486054
37	49.028005588967865
38	48.593645586537875
39	49.15557985541583
40	48.88828139238199
41	49.41376587084624
42	49.079642792053946
43	48.35368446631432
44	49.450215661259946
45	49.37427859789806
46	49.15557985541583
47	48.90650628758885
48	48.930806147864644
49	48.924731182795696
50	49.05230544924367
51	49.30137901707065
