GC Content	Count
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.5
11	1.5
12	2.0
13	2.0
14	2.0
15	5.0
16	8.0
17	9.0
18	14.0
19	18.5
20	19.0
21	36.0
22	51.5
23	68.5
24	87.0
25	81.5
26	88.5
27	103.0
28	105.0
29	114.0
30	125.0
31	129.0
32	131.0
33	142.5
34	151.5
35	147.0
36	145.0
37	134.0
38	128.5
39	125.0
40	116.0
41	120.5
42	114.0
43	96.0
44	89.0
45	77.0
46	66.0
47	61.0
48	55.0
49	46.0
50	33.5
51	28.5
52	27.0
53	29.0
54	30.0
55	25.5
56	22.0
57	23.0
58	17.0
59	12.5
60	15.0
61	13.5
62	8.0
63	4.5
64	5.0
65	4.5
66	4.0
67	3.5
68	3.0
69	2.0
70	0.5
71	0.5
72	1.0
73	0.5
74	0.0
75	0.0
76	0.0
77	0.0
78	0.0
79	0.0
80	0.0
81	0.5
82	0.5
83	0.0
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
