Base	%GC
1	46.10898487333698
2	45.97533564182006
3	47.09616669704149
4	47.731000546746856
5	47.132442284325634
6	49.252779296519044
7	48.462940461725395
8	48.17864195655476
9	48.60701807686465
10	48.66334528221642
11	48.67393747911414
12	48.67262013243424
13	48.39591687932921
14	48.12733513562771
15	47.879579561334225
16	48.14398541919805
17	48.140947752126365
18	48.730332300589275
19	48.35181528178642
20	48.33495381623724
21	48.948711716091395
22	48.15737505696491
23	48.64183276616431
24	49.02151452534338
25	49.192029645829535
26	48.32102592153645
27	49.06405737206758
28	48.927508051285166
29	48.70587520505498
30	48.541742617572005
31	49.30433197642627
32	48.84872417982989
33	48.90947752126367
34	48.81841929408906
35	49.05969922527723
36	48.98839540676833
37	49.00960019443431
38	48.89732685297691
39	49.31040767968892
40	48.74848116646416
41	49.36812686068413
42	49.70534629404617
43	48.93836760730233
44	48.78189550425273
45	49.170767268088206
46	49.08566221142163
47	49.08869987849332
48	49.42588092345079
49	49.18894289185905
50	49.0857177571229
51	48.99155579855416
