GC Content	Count
0	1.0
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	2.5
8	4.0
9	5.0
10	6.0
11	10.5
12	15.0
13	25.0
14	35.0
15	43.5
16	52.0
17	59.5
18	67.0
19	83.5
20	100.0
21	127.0
22	154.0
23	179.0
24	204.0
25	248.0
26	316.5
27	341.0
28	376.0
29	411.0
30	475.0
31	539.0
32	617.0
33	695.0
34	797.0
35	899.0
36	979.5
37	1060.0
38	1152.0
39	1244.0
40	1346.5
41	1449.0
42	1681.5
43	1914.0
44	2062.0
45	2210.0
46	2408.0
47	2606.0
48	2680.5
49	2755.0
50	2835.0
51	2915.0
52	2823.5
53	2732.0
54	2658.0
55	2584.0
56	2418.5
57	2253.0
58	1994.5
59	1736.0
60	1521.5
61	1307.0
62	1096.0
63	885.0
64	725.5
65	566.0
66	473.0
67	380.0
68	303.0
69	226.0
70	173.0
71	120.0
72	89.0
73	58.0
74	47.5
75	29.0
76	21.0
77	19.5
78	18.0
79	13.0
80	8.0
81	6.0
82	4.0
83	2.0
84	0.0
85	2.5
86	5.0
87	5.5
88	6.0
89	4.5
90	3.0
91	2.0
92	1.0
93	0.5
94	0.0
95	0.0
96	0.0
97	0.5
98	1.0
99	0.5
100	0.0
