Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.2144	30.0	30.0	32.0	30.0	32.0
2	30.586	30.0	30.0	32.0	30.0	32.0
3	30.7224	30.0	30.0	32.0	30.0	32.0
4	30.912	32.0	30.0	32.0	30.0	32.0
5	30.8632	32.0	30.0	32.0	30.0	32.0
6	32.398	33.0	33.0	33.0	32.0	33.0
7	32.4088	33.0	33.0	33.0	32.0	33.0
8	32.5132	33.0	33.0	33.0	32.0	33.0
9	34.6292	35.0	35.0	35.0	33.0	36.0
10	34.6808	35.0	35.0	35.0	33.0	36.0
11	34.624	35.0	35.0	35.0	33.0	36.0
12	34.6056	35.0	35.0	35.0	33.0	36.0
13	34.7284	35.0	35.0	35.0	33.0	36.0
14	34.6972	35.0	35.0	35.0	33.0	36.0
15	34.708	35.0	35.0	35.0	33.0	36.0
16	34.6664	35.0	35.0	35.0	33.0	36.0
17	37.2956	38.0	38.0	38.0	37.0	38.0
18	37.3664	38.0	38.0	38.0	37.0	38.0
19	37.2896	38.0	37.0	38.0	37.0	38.0
20	37.2684	38.0	37.0	38.0	37.0	38.0
21	37.2596	38.0	37.0	38.0	37.0	38.0
22	37.1912	38.0	37.0	38.0	37.0	38.0
23	38.7784	40.0	39.0	40.0	37.0	40.0
24	38.7672	40.0	39.0	40.0	37.0	40.0
25	38.764	40.0	39.0	40.0	37.0	40.0
26	38.7276	40.0	39.0	40.0	37.0	40.0
27	38.724	40.0	39.0	40.0	37.0	40.0
28	38.7076	40.0	39.0	40.0	37.0	40.0
29	38.6848	40.0	39.0	40.0	37.0	40.0
30	38.7176	40.0	39.0	40.0	37.0	40.0
31	38.8216	40.0	39.0	40.0	37.0	40.0
32	38.7108	40.0	39.0	40.0	37.0	40.0
33	38.6296	40.0	39.0	40.0	37.0	40.0
34	38.6124	40.0	39.0	40.0	37.0	40.0
35	38.6072	40.0	39.0	40.0	37.0	40.0
36	38.5664	40.0	39.0	40.0	37.0	40.0
37	38.5044	40.0	39.0	40.0	37.0	40.0
38	38.6336	40.0	39.0	40.0	37.0	40.0
39	38.726	40.0	39.0	40.0	37.0	40.0
40	38.8148	40.0	39.0	40.0	37.0	40.0
41	38.6284	40.0	39.0	40.0	37.0	40.0
42	38.6576	40.0	39.0	40.0	37.0	40.0
43	38.0412	39.0	39.0	40.0	36.0	40.0
44	38.5056	40.0	39.0	40.0	36.0	40.0
45	38.5324	40.0	39.0	40.0	37.0	40.0
46	38.496	40.0	39.0	40.0	36.0	40.0
47	38.5636	40.0	39.0	40.0	37.0	40.0
48	38.6184	40.0	39.0	40.0	37.0	40.0
49	38.5652	40.0	39.0	40.0	37.0	40.0
50	38.5336	40.0	39.0	40.0	37.0	40.0
51	38.5448	40.0	39.0	40.0	37.0	40.0
52	38.5596	40.0	39.0	40.0	37.0	40.0
53	38.6252	40.0	39.0	40.0	37.0	40.0
54	38.6716	40.0	39.0	40.0	37.0	40.0
55	38.7844	40.0	39.0	40.0	37.0	40.0
56	38.6288	40.0	39.0	40.0	37.0	40.0
57	38.7256	40.0	39.0	40.0	37.0	40.0
58	38.7236	40.0	39.0	40.0	37.0	40.0
59	38.6168	40.0	39.0	40.0	37.0	40.0
60	38.6884	40.0	39.0	40.0	37.0	40.0
61	38.6072	40.0	39.0	40.0	37.0	40.0
62	38.5896	40.0	39.0	40.0	37.0	40.0
63	38.5224	40.0	39.0	40.0	37.0	40.0
64	38.5196	40.0	39.0	40.0	37.0	40.0
65	38.4688	40.0	39.0	40.0	37.0	40.0
66	38.5192	40.0	39.0	40.0	37.0	40.0
67	38.412	40.0	39.0	40.0	37.0	40.0
68	38.3724	40.0	39.0	40.0	36.0	40.0
69	38.452	40.0	39.0	40.0	37.0	40.0
70	38.3932	40.0	39.0	40.0	37.0	40.0
71	38.3024	40.0	39.0	40.0	36.0	40.0
72	38.3476	40.0	39.0	40.0	36.0	40.0
73	38.2888	40.0	39.0	40.0	37.0	40.0
74	38.3376	40.0	39.0	40.0	37.0	40.0
75	37.4848	39.0	37.0	40.0	35.0	40.0
